&	and (conj. & adv.)
glæd	glad (adj.)
glæde	glad (adj.)
glæne	clene (adj.)
glæne	clene (adv.)
glæs-fat	glas-fat (n.)
glæuest	gleu (n.)
Glaudius	Claudius (n.)
gled	glad (adj.)
gleden	gled(e (n.2)
gleo	gle (n.1)
Gleochæstre	Gloucester (n.)
gleo-cræften	gle-craft (n.)
gleo-dreme	gle-drem (n.)
gleomen	gle-man (n.)
gleo-men	gle-man (n.)
gleowen	gleuen (v.1)
gleowien	gleuen (v.1)
glide	gliden (v.)
gliden	gliden (v.)
glit	gliden (v.)
glitenede	glitenen (v.)
Glocetere	Gloucester (n.)
Glochæstre	Gloucester (n.)
Gloi	Gloi (n.)
Gloichæstre	Gloucester (n.)
Gloichestre	Gloucester (n.)
Gloies	Gloi (n.)
Gloigin	Gloigin (n.)
Glom-margan	Glamorgan (n.)
Gloucestre	Gloucester (n.)
Gloucetre	Gloucester (n.)
Glouchæstre	Gloucester (n.)
glouen	glove (n.)
god	god (adj.)
god	God (n.1)
god	god (n.2)
god-cunde	godcund (adj. & n.)
Godd	God (n.1)
Godd-cunde	godcund (adj. & n.)
Godde	God (n.1)
Goddes	God (n.1)
godd-spel	gospel (n.)
gode	god (adj.)
gode	god (adv.)
gode	god (n.2)
goden	god (adj.)
goden	God (n.1)
godene	god (adj.)
godene	god (n.2)
godere	gaderen (v.)
godere	god (adj.)
Godes	God (n.1)
Godes	god (n.2)
godful	godful (adj.)
god-ful	godful (adj.)
godfulle	godful (adj.)
god-fulle	godful (adj.)
Godlac	Guthlac (n.)
Goğlac	Guthlac (n.)
Godlacke	Guthlac (n.)
Godlæc	Guthlac (n.)
godliche	godli (adj.2)
godliche	godli (adv.2)
god-liche	godli (adj.2)
god-liche	godli (adv.2)
godlichen	godli (adj.2)
godna	god (adj.)
godnæsse	godlines(se (n.)
godne	god (adj.)
godnesse	godlines(se (n.)
Goffar	Goffar (n.)
Goffaren	Goffar (n.)
Goffares	Goffar (n.)
gold	gold (adj.)
gold	gold (n.)
golde	gold (n.)
golden	gold (n.)
goldes	gold (n.)
gold-fa?e	gold-fou (adj.)
gold-fa?e	gold-ileired (ppl.)
gold-fah	gold-fou (adj.)
gold-ileired	gold-ileired (ppl.)
gold-ua?e	gold-fou (adj.)
gollen	yellen (v.)
gome	game (n.)
gomede	gamen (v.)
gomen	game (n.)
gomene	game (n.)
gomenen	gome (n.1)
gomenes	game (n.)
gomenfulle	gamenful (adj.)
gomes	game (n.)
gon	ginnen (v.)
gon	gon (v.)
gonnen	ginnen (v.)
Gonwæis	Gonwais (n.)
Gonwais	Gonwais (n.)
Gorbidiagus	Gorbodiagus (n.)
Gorbodiago	Gorbodiagus (n.)
Gorbonian	Gorbonian (n.)
Gorbonianes	Gorbonian (n.)
Gordoille	Cordoille (n.)
Gorgon	Gorgon (n.)
Gorlois	Gorlois (n.)
Gorloises	Gorlois (n.)
Gornoille	Gornoille (n.)
Goronces	Goronces (n.)
Goroncius	Goronces (n.)
Gost	gost (n.)
Goswhit	Goswhit (n.)
goud	god (n.2)
goudne	god (adj.)
Gracian	Gracian (n.)
Gracien	Gracian (n.)
Gradie	Gradie (n.)
grædde	greden (v.)
græğien	greithen (v.)
græiğeğ	greithen (v.)
græiğeden	greithen (v.)
græiğen	greithen (v.)
græiğien	greithen (v.)
græiğlichen	greithli (adj.)
græmende	gremen (v.)
græneden	greinen (v.)
græp	gripen (v.)
græs	gras (n.)
græt	gret (adj.& adv.& n.)
græte	greten (v.2)
græteğ	greten (v.2)
græten	greten (v.2)
grætere	gret (adj.& adv.& n.)
grætet	greten (v.2)
grætinge	greting(e (ger.1)
grætne	gret (adj.& adv.& n.)
grætte	greten (v.2)
grætten	greten (v.2)
grættere	gret (adj.& adv.& n.)
grame	gram(e (n.)
graneden	greinen (v.)
granen	gronen (v.)
graning	groninge (ger.)
grap	gripen (v.)
grapede	gropen (v.)
gras	gras (n.)
gras-bæd	gras-bed (n.)
gras-bedde	gras-bed (n.)
grate	gret (adj.& adv.& n.)
Gratien	Gracian (n.)
gratte	greten (v.2)
grauen	graven (v.1)
great	gret (adj.& adv.& n.)
greate	gret (adj.& adv.& n.)
greatere	gret (adj.& adv.& n.)
greatne	gret (adj.& adv.& n.)
Grece	Grece (n.)
Gregori	Gregori (n.)
Gregorie	Gregori (n.)
Greiğe	greithen (v.)
greiğede	greithen (v.)
greiğeden	greithen (v.)
greiğlicre	greithli (adj.)
grene	grene (n.1)
grenneden	gremen (v.)
greowen	grouen (v.)
gret	greten (v.2)
grete	gret (adj.& adv.& n.)
grete	greten (v.2)
greteğ	greten (v.2)
greten	greten (v.2)
gretinge	greting(e (ger.1)
grette	greten (v.2)
gretten	greten (v.2)
greu	grouen (v.)
Gric	Grek (n.)
Gricken	Grek (n.)
Grickes	Grek (n.)
Grickisca	Grekish (adj. & n.)
Grickisce	Grekish (adj. & n.)
Griclond	Grek-lond (n.)
Griclonde	Grek-lond (n.)
Gric-londe	Grek-lond (n.)
griğ	grith (n.)
griğe	grith (n.)
griğede	grithien (v.)
griğen	grith (n.)
griğful	grithful (adj.)
griğ-ful	grithful (adj.)
griğfulle	grithful (adj.)
griğ-fulle	grithful (adj.)
griğie	grithien (v.)
griğien	grithien (v.)
griğliche	grithliche (adv.)
Griffin	Griffin (n.)
grim	grim (adj.)
Grimarc	Grimarc (n.)
grime	grim (adj.)
Grimesbi	Grimsby (n.)
grimliche	grimli (adj.)
grimliche	grimli (adv.)
grimme	grim (adj.)
grimmen	grim (adj.)
grimmere	grim (adj.)
grimne	grim (adj.)
gripel	gripel (adj.)
